기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
(주)파트론,3.64,675점,IH,IM1,1.2개,2.4개,1.2회,1.3회,1.7회,1.7회,"워드프로세서 2급, 정보처리기사, 컴퓨터활용능력 2급, MOS, 정보처리기능사"
㈜ K J 프리텍,3.47,750점,-,-,1.5개,2.2개,2회,-,-,-,"워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 워드프로세서 1급"
(주)대성엘텍,3.48,661점,IH,IL,1.3개,2개,1.6회,1회,1.4회,1.3회,"워드프로세서 2급, 정보처리기능사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급"
인베니아(주),3.66,697점,IH,IL,-,2.2개,1.6회,1.4회,2.5회,1.3회,"전기공사기능사, 정보처리기사, MOS, 컴퓨터활용능력 2급, 전기기기기능사"
하나마이크론(주),3.55,825점,IM3,IM3,1.3개,2.3개,1.7회,1.5회,1.7회,1.5회,"정보기기운용기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급, 워드프로세서 2급, 컴퓨터활용능력 2급"
(주)루멘스,3.58,837점,IM2,IM1,1.6개,2.7개,1.7회,1회,2.3회,2.3회,"컴퓨터활용능력 2급, MOS, 워드프로세서 1급, 워드프로세서 2급, 전자기기기능사"
미래산업(주),3.57,715점,-,-,1개,1.9개,1.7회,-,-,1회,"건축도장기능사, 전자기기기능사, 정보처리산업기사, 조적기능사, 전산응용건축제도기능사"
신풍제약(주),3.48,715점,IM3,IM2,1.4개,2.7개,1.6회,1.8회,1.3회,1.6회,"정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 워드프로세서 1급"
현대약품(주),3.57,744점,-,-,1개,2.2개,1.2회,1.5회,1회,1.3회,"사무자동화산업기사, 위생사, 워드프로세서 1급, 워드프로세서 2급, 식품기사"
신라교역(주),3.75,763점,-,IM2,1개,2.9개,1.2회,2회,-,2회,"워드프로세서 2급, 워드프로세서 3급, 전기용접기능사, 전산회계 2급, 정보기술자격(ITQ)인증시험"
(주)티비에이치글로벌,3.54,820점,AL,IM3,1.2개,2.3개,1.3회,1회,1.5회,2.3회,"컴퓨터활용능력 2급, 워드프로세서 1급, 정보처리기능사, 전산세무 2급, 전산회계 1급"
한국콜마홀딩스(주),3.72,833점,IH,IM2,1개,2.3개,1.3회,1.2회,2.7회,1.9회,"무역영어, 워드프로세서 1급, 컴퓨터활용능력 2급, 화학분석기능사, MOS"
일진디스플레이㈜,3.58,784점,IH,IM2,1개,2개,1.4회,1.7회,1.5회,1.1회,"워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 3급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급"
(주)하이트론씨스템즈,3.55,760점,IM1,-,1개,2.2개,1.3회,-,4.3회,1회,"컴퓨터활용능력 3급, 전자기기기능사, 정보처리기능사, 워드프로세서 1급, 워드프로세서 2급"
자화전자㈜,3.53,767점,IH,IM2,1.3개,1.8개,1.3회,1회,1회,3회,"정보처리기사, 컴퓨터활용능력 2급, 전자기기기능사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
(주)신세계톰보이,3.63,668점,-,IH,1개,1.9개,1.2회,-,1회,-,"워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 1급, MOS"
성창기업지주㈜,3.77,762점,IH,IH,1.1개,2.2개,1.5회,2회,1.3회,2.3회,"유통관리사, 컴퓨터활용능력 2급, 사무자동화산업기사, 워드프로세서 1급, 품질경영기사"
삼영화학공업(주),3.49,695점,IH,IH,1개,2.2개,1.3회,2회,1회,1회,"워드프로세서 1급, 컴퓨터활용능력 2급, 특수용접기능사, 한자급수자격시험, 환경기능사"
(주)서흥,3.83,880점,AL,AL,1개,1.5개,1.7회,2회,1.3회,1.3회,"워드프로세서 3급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급, 한자 자격 시험"
㈜쌍방울트라이그룹,3.76,640점,-,IM2,1개,2.3개,1회,3회,2.3회,4회,"워드프로세서 1급, 전산회계운용사(전산회계사) 3급, 정보기기운용기능사, 정보처리기능사, 컬러리스트기사"
일성신약,3.58,838점,AL,IM3,1개,2.2개,1.4회,1.3회,2.3회,2.2회,"워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급, 워드프로세서 1급"
㈜다우기술,3.53,768점,IH,IM2,1.2개,2.1개,1.1회,1.3회,1.6회,1.9회,"정보처리기사, 컴퓨터활용능력 2급, 워드프로세서 1급, SCJP, 워드프로세서 2급"
광전자(주),3.74,770점,-,IL,1.1개,2개,1.2회,1회,1.9회,1.7회,"정보기술자격(ITQ)인증시험, 사무자동화산업기사, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 3급"
㈜에넥스,3.46,753점,IM1,IL,1개,2.1개,1.4회,1.6회,2.5회,1.4회,"MOS, 유통관리사, 전산응용건축제도기능사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급"
삼일제약(주),3.56,759점,IM3,IM3,1개,2.3개,1.1회,1.3회,2회,1.3회,"워드프로세서 2급, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 3급, 정보기술자격(ITQ)인증시험"
인지컨트롤스(주),3.61,754점,IM2,IM2,1.7개,2.2개,1.3회,1.4회,1.9회,1.6회,"워드프로세서 1급, 유통관리사, 정보기기운용기능사, 정보처리기능사, 컴퓨터활용능력 2급"
한국석유공업(주),3.72,795점,IM3,IH,-,2.6개,1.4회,1회,1회,2회,"사무자동화산업기사, 무역영어, MOS, 건설재료시험기사, 국어능력인증시험(ToKL)"
(주)케이엠더블유,3.61,697점,IM3,IM2,1.2개,2.2개,1.5회,1.3회,2.1회,2.3회,"워드프로세서 2급, 컴퓨터활용능력 2급, 정보기기운용기능사, MOS, 워드프로세서 1급"
㈜유유제약,3.54,708점,IM1,IM2,1개,1.8개,1.3회,1회,1.3회,1.3회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급"
㈜상상인증권,3.57,653점,IH,-,-,3.3개,1회,-,4회,2회,"증권투자상담사, 워드프로세서 1급, 파생상품투자상담사, AICPA(미국공인회계사), FRM(국제금융위험관리전문가)"
참엔지니어링(주),3.51,759점,IH,IL,1개,3개,1회,1회,-,-,"워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 1급, 컴퓨터활용능력 2급, 한식조리기능사"
(주)엔케이,3.69,757점,-,IM1,1개,2.3개,1.3회,2회,5회,3회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 정보처리기사"
(주)와이지플러스,3.59,901점,-,-,1개,1개,1.3회,-,1.5회,2회,
(주)대양금속,3.55,940점,-,-,-,2개,1.5회,-,-,1회,"MOS, 네트워크관리사 2급, 영양사, 워드프로세서 3급, 전기기능사"
㈜삼성출판사,3.82,805점,-,IM2,1.3개,2개,1.1회,1회,1.3회,2회,"사무자동화산업기사, 워드프로세서 1급, 정보기기운용기능사, 유통관리사, 응급구조사(1급·2급)"
데상트코리아㈜,3.71,854점,IH,IH,1.1개,1.7개,1.2회,1.2회,1.4회,2.3회,"MOS, 정보처리기능사, 워드프로세서 1급, 워드프로세서 2급, 청소년지도사"
자트코코리아엔지니어링(주),3.66,776점,-,IL,1개,2.3개,1회,1회,1회,3회,"국제무역사 1급, 국제무역사 2급, 무역영어, 회계관리 2급, 건설기계기사"
콘티넨탈오토모티브일렉트로닉스(유),3.62,826점,IH,IM3,-,1.7개,1.8회,1.4회,1회,2회,"일반기계기사, 컴퓨터활용능력 1급, 워드프로세서 1급, 워드프로세서 2급, 유통관리사 2급"
푸르덴셜투자증권,3.53,747점,AL,IM2,1개,1.9개,1회,1회,2회,1.7회,"증권투자상담사, 금융자산관리사(FP), 1종 투자상담사, 선물거래상담사, 워드프로세서 1급"
한국오라클㈜,3.6,850점,AL,IM3,1.1개,2.2개,1.1회,1.3회,2회,1.8회,"OCP, MOS, 사무자동화산업기사, 유통관리사, 워드프로세서 1급"
㈜셀트리온,3.7,840점,IH,IM1,1개,2.1개,1.8회,1.2회,1.6회,1.8회,"컴퓨터활용능력 2급, 전기산업기사, 정보기술자격(ITQ)인증시험, 전기기능사, 화학분석기능사"
㈜에이비씨마트코리아,3.63,770점,IH,IM2,1.4개,2.1개,1.2회,1.7회,1.3회,2.4회,"워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급, 회계관리 1급"
한국베링거인겔하임㈜,3.52,897점,AL,IM3,1.3개,1.6개,1.2회,1회,1회,1.8회,"컴퓨터활용능력 2급, MOS, TEPS, 한자 자격 시험, 간호사"
한국존슨앤드존슨메디칼(주),3.49,833점,AL,IH,1개,2개,1.2회,1.5회,1.5회,1.7회,"MOS, 워드프로세서 1급, 워드프로세서 2급, 무역영어, 사무자동화산업기사"
하니웰애널리틱스(주),3.47,788점,-,AL,1개,2.8개,1회,2회,1.7회,2.3회,"전산세무 2급, 전산회계 1급, 국제무역사 1급, 무역영어, MOS"
인천국제공항공사,3.72,856점,AL,IM3,1.2개,2.1개,1.3회,1.2회,1.7회,1.7회,"정보처리기사, 컴퓨터활용능력 1급, MOS, 워드프로세서 1급, 일반기계기사"
한국석유공사,3.67,843점,IH,IM2,1개,2.5개,1.4회,1.3회,1.4회,1.7회,"MOS, 워드프로세서 1급, 워드프로세서 2급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급"
한국광물자원공사,3.63,732점,AL,-,1.5개,2.1개,1.3회,1회,1.3회,1.7회,"정보처리기사, 사무자동화산업기사, 응용지질기사, OCP, SCJP"
한국과학기술원,3.71,806점,IH,IH,1.4개,2.2개,1.3회,1.4회,1.9회,2.4회,"컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 워드프로세서 1급, 정보처리기사"
㈜에이스테크놀로지,3.63,793점,IH,IH,1개,1.9개,1.5회,1회,1.3회,1.8회,"워드프로세서 1급, 정보기기운용기능사, 무선설비기사, 정보처리기사, MOS"
코데즈컴바인,3.78,-,IH,-,1개,2.2개,1.3회,-,2회,1회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 3급, 한자 자격 시험"
이건홀딩스,3.57,778점,-,IM2,1개,1.8개,1회,1회,2.5회,-,"건축기사, 워드프로세서 2급, 건설안전기사, 전자기기기능사, 정보기기운용기능사"
(주)바텍,3.6,826점,IM2,IH,1개,2.2개,1.4회,1.3회,1.6회,1.9회,"정보기기운용기능사, 정보처리기능사, 정보처리기사, 워드프로세서 2급, 워드프로세서 1급"
(주)디엠에스,3.54,738점,IM3,IM1,1.1개,1.8개,1.3회,-,1.6회,2회,"워드프로세서 2급, 정보처리기사, MOS, 컴퓨터활용능력 2급, 정보처리산업기사"
㈜하나투어,3.63,784점,IM3,IM3,1.2개,2.1개,1.4회,1.6회,1.7회,1.9회,"워드프로세서 1급, MOS, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기사"
(주)오스템,3.45,850점,-,-,1개,2.1개,1.8회,-,1회,-,"MOS, 정보기기운용기능사, 정보처리기능사, 중식조리기능사, 컴퓨터활용능력 1급"
한국국토정보공사,3.59,670점,IM3,IM2,1개,2.2개,1회,1.2회,1회,2회,"지적기사, 지적산업기사, 측량기능사, 도시계획기사, 워드프로세서 1급"
㈜두산전자,3.67,797점,IM3,IM2,-,2.2개,1.3회,1회,1.8회,1.9회,
골드앤에스,3.7,797점,AL,IM2,1.1개,2.6개,1.2회,1.7회,2회,1.3회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기능사, 정보기기운용기능사"
(주)알루코,3.48,724점,IM1,IM1,1개,2.1개,1.4회,-,1회,1.6회,"워드프로세서 2급, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 3급, 수치제어선반기능사"
(주)한솔케미칼,3.74,786점,IM3,IM2,-,1.8개,1회,1회,-,1.5회,"컴퓨터활용능력 2급, 폐기물처리기사, 한자급수자격시험, 화학분석기능사, MOS"
현대커머셜(주),3.54,779점,IH,IM2,1개,2.2개,1.4회,1.2회,1.3회,2.3회,"워드프로세서 2급, MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 컴퓨터활용능력 3급"
한솔PNS㈜,3.74,802점,IH,IH,-,2개,1.1회,1회,1.6회,2회,"정보처리기사, 유통관리사, CCNA, MOS, CCNP"
삼영전자공업(주),3.58,839점,IH,-,1.3개,2개,1.1회,1.5회,2.8회,1회,"정보기기운용기능사, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 2급, 전산회계운용사(전산회계사) 3급"
동양피스톤(주),3.58,803점,IH,IM1,1개,2.3개,1.4회,2회,1회,1.7회,"워드프로세서 1급, 워드프로세서 2급, 수치제어선반기능사, 선반기능사, 정보기기운용기능사"
(주)싸이버로지텍,3.57,836점,AL,IH,1개,2.4개,1.2회,1.4회,1.2회,1.8회,"정보처리기사, SCJP, 정보처리산업기사, 물류관리사, 워드프로세서 1급"
동화약품(주),3.48,775점,-,IM2,1개,2.2개,1.3회,3회,1회,1.7회,"정보기기운용기능사, 유통관리사, 문서실무 2급, 워드프로세서 2급, 정보처리기사"
신용보증기금,3.67,757점,IM3,IM3,1개,2.3개,1.3회,1.5회,1.8회,2.1회,"워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 정보처리기사, 워드프로세서 1급"
한국자산관리공사,3.57,788점,IM3,IM2,1.1개,2.3개,1.2회,1.5회,1.5회,1.9회,"컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, MOS, 사무자동화산업기사"
KDB산업은행,3.63,839점,IM3,IM3,1개,2.4개,1.5회,1.1회,1.6회,2.6회,"정보기기운용기능사, 워드프로세서 2급, 정보처리기능사, 정보처리기사, 컴퓨터활용능력 2급"
대림아이앤에스(주),3.55,617점,-,-,1.2개,2.4개,1.5회,1회,1.5회,1회,"워드프로세서 1급, MOS, 컴퓨터활용능력 2급, 전산회계 1급, 전자기기기능사"
메타넷디지털㈜,3.5,746점,IH,IM1,1.2개,2.3개,1.2회,1.7회,1.6회,1.7회,"정보처리기사, 정보기기운용기능사, 정보처리기능사, 워드프로세서 2급, SCJP"
에이치디씨리조트(주),3.57,798점,IH,IM3,1개,2.4개,1.4회,1.3회,1회,2회,"워드프로세서 1급, 컴퓨터활용능력 3급, 정보기술자격(ITQ)인증시험, 제빵기능사, 워드프로세서 3급"
(재)한국원자력연구원,3.79,725점,IM3,IM1,1.1개,2.1개,1.1회,1.9회,1.4회,1.9회,"컴퓨터활용능력 2급, 워드프로세서 2급, 사무자동화산업기사, 워드프로세서 1급, 정보처리기사"
동원그룹,3.49,742점,AL,-,-,2.5개,1회,1회,2.7회,2회,"대기환경기사, 재경관리사, 측량기능사, 컴퓨터활용능력 2급, 토목기사"
웅진식품㈜,3.43,833점,AL,IH,1개,2.3개,1.2회,2회,1.3회,2.3회,"유통관리사, MOS, 위생사, 워드프로세서 2급, 워드프로세서 3급"
에스케이엔펄스(주),3.5,710점,IH,IM1,-,2개,1회,1회,-,1회,"기계제도기능사, 기계조립산업기사, 생산자동화산업기사, 승강기기능사, 워드프로세서 2급"
금융감독원,3.83,858점,IM1,IH,-,3.3개,1회,1회,3회,1회,"정보처리기사, 컴퓨터활용능력 2급, 정보처리기능사, 세무사, 워드프로세서 1급"
(주)한국거래소,3.76,886점,IH,IH,-,2.6개,1.1회,1.3회,2회,1회,"정보기술자격(ITQ)인증시험, 정보처리기사, 증권투자상담사, 컴퓨터활용능력 1급, 컴퓨터활용능력 2급"
㈜세중나모여행,3.62,734점,-,-,1개,3개,1.3회,1.8회,2.3회,1.8회,"컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계 1급, 정보처리기사, 조주기능사"
국가과학기술연구회,3.49,730점,IH,IM2,1개,2개,1.5회,1회,1회,2회,"워드프로세서 1급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급, 한자 자격 시험, ERP정보관리사 생산1급"
㈜한미글로벌건축사사무소,3.57,810점,IH,-,1.2개,2.1개,1.3회,1회,4회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 3급, 전산응용건축제도기능사, 전산회계 1급, 워드프로세서 2급"
㈜티맥스소프트,3.57,783점,IH,IM2,1.1개,2개,1.3회,1.2회,1.7회,1.9회,"정보처리기사, SCJP, OCP, 워드프로세서 1급, 사무자동화산업기사"
(주)헤럴드,3.83,843점,IM1,AL,1.3개,1.7개,1.3회,1회,1회,2.5회,"유치원정교사, 중등학교정교사, 컴퓨터활용능력 3급, MOS, TIQ"
한국화학연구원,3.92,718점,IM3,IM1,1개,2.1개,1회,1.3회,1.9회,1.6회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 정보기기운용기능사"
(재)에너지경제연구원,3.81,859점,IH,IM1,1.2개,2.3개,1.4회,1.2회,1.3회,1.7회,"컴퓨터활용능력 2급, MOS, 정보처리기사, 사무자동화산업기사, 워드프로세서 1급"
한국농어촌공사,3.58,762점,IM3,IH,1.1개,2.3개,1.2회,1.7회,1.6회,1.4회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, 토목기사, 사무자동화산업기사"
서울시설공단,3.7,831점,IH,IM1,2개,3.4개,1회,1.1회,1회,1.6회,"컴퓨터활용능력 2급, 한국사능력검정시험 1급, 전기기능사, 사무자동화산업기사, 워드프로세서 1급"
유아이엘(주),3.58,741점,IH,-,-,2.3개,1.1회,3회,1회,1회,"워드프로세서 1급, 컴퓨터활용능력 1급, 컴퓨터활용능력 3급, 화훼장식기능사, 환경기능사"
서울주택도시공사,3.7,882점,IH,IH,-,2.7개,1.3회,1.3회,2.3회,2.4회,"한국사능력검정시험 1급, 컴퓨터활용능력 2급, 국어능력인증시험(ToKL), 워드프로세서 1급, 일반기계기사"
(재)한국전기연구원,3.83,726점,IH,IM3,1.5개,2.3개,1.4회,1회,1.2회,1.4회,"컴퓨터활용능력 2급, 정보처리기사, 워드프로세서 1급, 워드프로세서 2급, 전산회계 2급"
신용회복위원회,3.74,693점,AL,-,1개,2.1개,1회,1.3회,1회,2회,"워드프로세서 2급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 직업상담사 2급, 전산회계 1급"
(재)대구경북과학기술원,3.79,743점,IH,IH,-,2개,1회,1회,2회,2.3회,"정보처리기사, 정보처리산업기사, 워드프로세서 1급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급"
한국토지공사,3.61,659점,-,IM1,1.1개,1.9개,1.2회,1회,1.3회,1.5회,"워드프로세서 2급, 워드프로세서 3급, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급"
이엘씨에이한국(유),3.66,755점,IH,IM3,1.1개,2.2개,1.3회,1회,1.5회,3회,"워드프로세서 2급, 워드프로세서 3급, 미용기능사, 컬러리스트기사, 컴퓨터활용능력 2급"
(주)건화,3.79,658점,-,IM1,1개,1.8개,1.1회,-,3회,1회,"컴퓨터활용능력 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 토목기사, 정보처리기능사"
오스템임플란트(주),3.62,777점,IH,IM3,1.1개,2.1개,1.4회,1.7회,1.5회,1.8회,"정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 사무자동화산업기사"
(주)휴맥스,3.58,910점,IH,IM3,1.5개,1.9개,1회,1회,1.4회,1.6회,"정보처리기사, 컴퓨터활용능력 2급, 한자급수자격시험, SCJP, 국제무역사 1급"
두원중공업(주),3.61,737점,-,IL,1개,1.9개,1.4회,2.3회,2.3회,1.5회,"워드프로세서 1급, 전기공사기능사, 수치제어밀링기능사, 컴퓨터활용능력 2급, 정보처리기능사"
